INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1961-015AC,142,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/25/1967,90.94,67.06,328,313,,,0,,1,1961,15,AC,Y,THOR ABLESTAR DEB,1961-015AC,142
1961-015AD,143,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,6/16/1962,89.84,66.24,294,239,,,0,,1,1961,15,AD,Y,THOR ABLESTAR DEB,1961-015AD,143
1961-015AE,144,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.55,66.5,962,891,,,0,SMALL,8592,1961,15,AE,Y,THOR ABLESTAR DEB,1961-015AE,144
1961-015AF,145,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.71,66.93,937,836,,,0,MEDIUM,8577,1961,15,AF,Y,THOR ABLESTAR DEB,1961-015AF,145
1961-015AG,146,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,7/7/1969,87.32,66.95,190,93,,,0,,1,1961,15,AG,Y,THOR ABLESTAR DEB,1961-015AG,146
1961-015AH,147,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.35,66.62,860,785,,,0,MEDIUM,8590,1961,15,AH,Y,THOR ABLESTAR DEB,1961-015AH,147
1961-015AJ,148,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.32,65.78,967,770,,,0,MEDIUM,8592,1961,15,AJ,Y,THOR ABLESTAR DEB,1961-015AJ,148
1961-015AK,149,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,3/3/1979,95.67,67.08,559,542,,,0,SMALL,5942,1961,15,AK,Y,THOR ABLESTAR DEB,1961-015AK,149
1961-015AL,150,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.18,66.25,995,917,,,0,MEDIUM,8569,1961,15,AL,Y,THOR ABLESTAR DEB,1961-015AL,150
1961-015AM,151,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/2/1967,91.65,66.84,385,326,,,0,,1,1961,15,AM,Y,THOR ABLESTAR DEB,1961-015AM,151
1961-015AN,152,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.13,66.59,966,753,,,0,MEDIUM,8587,1961,15,AN,Y,THOR ABLESTAR DEB,1961-015AN,152
1961-015AP,153,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/20/1981,92.1,67.09,391,364,,,0,SMALL,5942,1961,15,AP,Y,THOR ABLESTAR DEB,1961-015AP,153
1961-015AQ,154,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.48,66.66,941,811,,,0,MEDIUM,8586,1961,15,AQ,Y,THOR ABLESTAR DEB,1961-015AQ,154
1961-015AR,155,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.79,66.88,784,713,,,0,SMALL,8584,1961,15,AR,Y,THOR ABLESTAR DEB,1961-015AR,155
1961-015AS,156,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,9/25/1998,89.86,66.96,281,254,,,0,SMALL,5942,1961,15,AS,Y,THOR ABLESTAR DEB,1961-015AS,156
1961-015AT,157,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,1/8/1981,90.9,66.71,330,308,,,0,MEDIUM,1,1961,15,AT,Y,THOR ABLESTAR DEB,1961-015AT,157
1961-015AU,158,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,113.77,67.07,1870,930,,,0,MEDIUM,8587,1961,15,AU,Y,THOR ABLESTAR DEB,1961-015AU,158
1961-015AV,159,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,110.56,65.52,1532,973,,,0,MEDIUM,8580,1961,15,AV,Y,THOR ABLESTAR DEB,1961-015AV,159
1961-015AW,161,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/29/1981,88.07,66.66,201,158,,,0,MEDIUM,5942,1961,15,AW,Y,THOR ABLESTAR DEB,1961-015AW,161
1961-015AX,171,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,1/29/1962,88.78,67.13,214,214,,,0,,1,1961,15,AX,Y,THOR ABLESTAR DEB,1961-015AX,171
1961-015AY,172,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,106.02,67.07,1141,944,,,0,SMALL,8589,1961,15,AY,Y,THOR ABLESTAR DEB,1961-015AY,172
1961-015AZ,175,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,3/12/1999,90.26,66.52,302,272,,,0,SMALL,5942,1961,15,AZ,Y,THOR ABLESTAR DEB,1961-015AZ,175
1961-015B,117,PAYLOAD,SOLRAD 3/INJUN 1,US,6/29/1961,AFETR,,103.6,66.81,990,868,,,0,MEDIUM,8587,1961,15,B,Y,SOLRAD 3/INJUN 1,1961-015B,117
1961-015BA,176,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/12/1982,91.22,66.73,352,316,,,0,SMALL,5942,1961,15,BA,Y,THOR ABLESTAR DEB,1961-015BA,176
1961-015BB,177,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.84,66.67,925,767,,,0,MEDIUM,8591,1961,15,BB,Y,THOR ABLESTAR DEB,1961-015BB,177
1961-015BC,178,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.4,66.86,981,858,,,0,SMALL,8578,1961,15,BC,Y,THOR ABLESTAR DEB,1961-015BC,178
1961-015BD,179,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,3/3/2000,90.45,66.85,308,285,,,0,MEDIUM,5942,1961,15,BD,Y,THOR ABLESTAR DEB,1961-015BD,179
1961-015BE,210,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.81,66.46,974,903,,,0,MEDIUM,8589,1961,15,BE,Y,THOR ABLESTAR DEB,1961-015BE,210
1961-015BF,211,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,10/17/2002,88.6,66.51,212,198,,,0,SMALL,5942,1961,15,BF,Y,THOR ABLESTAR DEB,1961-015BF,211
1961-015BG,212,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/11/1988,89.52,68.18,265,237,,,0,MEDIUM,1,1961,15,BG,Y,THOR ABLESTAR DEB,1961-015BG,212
1961-015BH,216,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/13/1989,88.11,66.82,187,175,,,0,MEDIUM,1,1961,15,BH,Y,THOR ABLESTAR DEB,1961-015BH,216
1961-015BJ,220,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/21/1966,89.2,66.97,235,235,,,0,,1,1961,15,BJ,Y,THOR ABLESTAR DEB,1961-015BJ,220
1961-015BK,223,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.69,66.89,987,878,,,0,MEDIUM,8588,1961,15,BK,Y,THOR ABLESTAR DEB,1961-015BK,223
1961-015BL,224,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.17,66.74,910,813,,,0,MEDIUM,8586,1961,15,BL,Y,THOR ABLESTAR DEB,1961-015BL,224
1961-015BM,225,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.45,66.8,859,701,,,0,SMALL,8592,1961,15,BM,Y,THOR ABLESTAR DEB,1961-015BM,225
1961-015BN,230,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.13,66.88,972,841,,,0,SMALL,8578,1961,15,BN,Y,THOR ABLESTAR DEB,1961-015BN,230
1961-015BP,231,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/13/1965,88.93,66.84,231,212,,,0,,1,1961,15,BP,Y,THOR ABLESTAR DEB,1961-015BP,231
1961-015BQ,232,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.87,66.82,932,856,,,0,MEDIUM,8592,1961,15,BQ,Y,THOR ABLESTAR DEB,1961-015BQ,232
1961-015BR,233,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,97.73,66.85,666,635,,,0,MEDIUM,8592,1961,15,BR,Y,THOR ABLESTAR DEB,1961-015BR,233
1961-015BS,234,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.64,66.88,931,837,,,0,SMALL,8583,1961,15,BS,Y,THOR ABLESTAR DEB,1961-015BS,234
1961-015BT,235,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.16,66.95,981,740,,,0,SMALL,8587,1961,15,BT,Y,THOR ABLESTAR DEB,1961-015BT,235
1961-015BU,236,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,5/13/1969,93.43,67.29,499,386,,,0,,1,1961,15,BU,Y,THOR ABLESTAR DEB,1961-015BU,236
1961-015BV,237,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/12/1969,89.87,67.19,288,248,,,0,,1,1961,15,BV,Y,THOR ABLESTAR DEB,1961-015BV,237
1961-015BW,238,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/7/1969,92.21,67.06,401,364,,,0,,1,1961,15,BW,Y,THOR ABLESTAR DEB,1961-015BW,238
1961-015BX,239,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,6/17/1967,90.76,66.99,325,298,,,0,,1,1961,15,BX,Y,THOR ABLESTAR DEB,1961-015BX,239
1961-015BY,243,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.94,66.46,920,875,,,0,SMALL,8582,1961,15,BY,Y,THOR ABLESTAR DEB,1961-015BY,243
1961-015BZ,244,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.22,66.84,959,863,,,0,SMALL,8580,1961,15,BZ,Y,THOR ABLESTAR DEB,1961-015BZ,244
1961-015C,118,ROCKET BODY,THOR ABLESTAR R/B,US,6/29/1961,AFETR,,102.71,66.76,950,823,,,0,LARGE,8584,1961,15,C,Y,THOR ABLESTAR R/B,1961-015C,118
1961-015CA,245,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.74,66.1,875,807,,,0,MEDIUM,8589,1961,15,CA,Y,THOR ABLESTAR DEB,1961-015CA,245
1961-015CB,246,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.9,66.87,986,900,,,0,MEDIUM,8563,1961,15,CB,Y,THOR ABLESTAR DEB,1961-015CB,246
1961-015CC,250,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,9/13/1981,90.53,66.92,312,289,,,0,SMALL,5942,1961,15,CC,Y,THOR ABLESTAR DEB,1961-015CC,250
1961-015CD,252,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.59,67.08,1016,935,,,0,SMALL,8590,1961,15,CD,Y,THOR ABLESTAR DEB,1961-015CD,252
1961-015CE,253,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,97.92,66.93,677,641,,,0,SMALL,8591,1961,15,CE,Y,THOR ABLESTAR DEB,1961-015CE,253
1961-015CF,254,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.62,66.78,784,697,,,0,SMALL,8586,1961,15,CF,Y,THOR ABLESTAR DEB,1961-015CF,254
1961-015CG,260,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.17,66.77,798,736,,,0,SMALL,8587,1961,15,CG,Y,THOR ABLESTAR DEB,1961-015CG,260
1961-015CH,261,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.83,66.68,962,823,,,0,SMALL,8565,1961,15,CH,Y,THOR ABLESTAR DEB,1961-015CH,261
1961-015CJ,262,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.51,66.46,784,686,,,0,SMALL,8589,1961,15,CJ,Y,THOR ABLESTAR DEB,1961-015CJ,262
1961-015CK,263,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.84,66.53,829,673,,,0,SMALL,8593,1961,15,CK,Y,THOR ABLESTAR DEB,1961-015CK,263
1961-015CL,264,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.63,66.53,809,768,,,0,MEDIUM,8592,1961,15,CL,Y,THOR ABLESTAR DEB,1961-015CL,264
1961-015CM,265,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,10/12/1978,91.27,66.56,339,335,,,0,SMALL,5942,1961,15,CM,Y,THOR ABLESTAR DEB,1961-015CM,265
1961-015CN,268,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,115.11,67.94,1972,948,,,0,MEDIUM,8578,1961,15,CN,Y,THOR ABLESTAR DEB,1961-015CN,268
1961-015CP,275,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/1/2001,88.78,66.71,221,208,,,0,SMALL,5942,1961,15,CP,Y,THOR ABLESTAR DEB,1961-015CP,275
1961-015CQ,299,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.24,67.17,1152,859,,,0,SMALL,8587,1961,15,CQ,Y,THOR ABLESTAR DEB,1961-015CQ,299
1961-015CR,300,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/13/1979,94.33,66.8,497,475,,,0,SMALL,5942,1961,15,CR,Y,THOR ABLESTAR DEB,1961-015CR,300
1961-015CS,301,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/8/1981,91.69,66.78,374,341,,,0,SMALL,5942,1961,15,CS,Y,THOR ABLESTAR DEB,1961-015CS,301
1961-015CT,317,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,1/11/1981,92.57,66.38,412,389,,,0,SMALL,5942,1961,15,CT,Y,THOR ABLESTAR DEB,1961-015CT,317
1961-015CU,318,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,96.07,66.54,605,536,,,0,SMALL,8592,1961,15,CU,Y,THOR ABLESTAR DEB,1961-015CU,318
1961-015CV,319,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,7/23/1981,88.51,66.76,208,194,,,0,MEDIUM,5942,1961,15,CV,Y,THOR ABLESTAR DEB,1961-015CV,319
1961-015CW,320,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.84,66.91,894,703,,,0,MEDIUM,8587,1961,15,CW,Y,THOR ABLESTAR DEB,1961-015CW,320
1961-015CX,321,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/26/1969,88.15,67.1,183,183,,,0,,1,1961,15,CX,Y,THOR ABLESTAR DEB,1961-015CX,321
1961-015CY,322,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,6/6/1969,90.14,66.95,298,265,,,0,,1,1961,15,CY,Y,THOR ABLESTAR DEB,1961-015CY,322
1961-015CZ,323,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.82,66.84,897,792,,,0,SMALL,8576,1961,15,CZ,Y,THOR ABLESTAR DEB,1961-015CZ,323
1961-015D,119,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.09,66.73,888,732,,,0,MEDIUM,8589,1961,15,D,Y,THOR ABLESTAR DEB,1961-015D,119
1961-015DA,324,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.03,66.87,904,806,,,0,SMALL,8591,1961,15,DA,Y,THOR ABLESTAR DEB,1961-015DA,324
1961-015DB,325,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.42,66.92,866,786,,,0,SMALL,8591,1961,15,DB,Y,THOR ABLESTAR DEB,1961-015DB,325
1961-015DC,326,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,10/7/1979,91.1,66.93,351,306,,,0,SMALL,5942,1961,15,DC,Y,THOR ABLESTAR DEB,1961-015DC,326
1961-015DD,327,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.59,66.54,1009,848,,,0,SMALL,8589,1961,15,DD,Y,THOR ABLESTAR DEB,1961-015DD,327
1961-015DE,328,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,5/3/1970,92.7,66.61,467,347,,,0,,1,1961,15,DE,Y,THOR ABLESTAR DEB,1961-015DE,328
1961-015DF,329,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.45,66.78,1105,926,,,0,SMALL,8529,1961,15,DF,Y,THOR ABLESTAR DEB,1961-015DF,329
1961-015DG,330,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.57,66.98,915,846,,,0,SMALL,8583,1961,15,DG,Y,THOR ABLESTAR DEB,1961-015DG,330
1961-015DH,331,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,3/24/1989,91.02,66.92,340,309,,,0,SMALL,5942,1961,15,DH,Y,THOR ABLESTAR DEB,1961-015DH,331
1961-015DJ,332,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,9/20/1970,90.53,67.06,316,286,,,0,,1,1961,15,DJ,Y,THOR ABLESTAR DEB,1961-015DJ,332
1961-015DK,333,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.36,66.71,719,642,,,0,SMALL,8585,1961,15,DK,Y,THOR ABLESTAR DEB,1961-015DK,333
1961-015DL,334,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.49,66.92,977,870,,,0,SMALL,8584,1961,15,DL,Y,THOR ABLESTAR DEB,1961-015DL,334
1961-015DM,335,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.47,66.84,856,801,,,0,SMALL,8593,1961,15,DM,Y,THOR ABLESTAR DEB,1961-015DM,335
1961-015DN,336,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.21,67.03,1058,950,,,0,SMALL,8556,1961,15,DN,Y,THOR ABLESTAR DEB,1961-015DN,336
1961-015DP,337,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.71,67.01,1060,902,,,0,SMALL,8586,1961,15,DP,Y,THOR ABLESTAR DEB,1961-015DP,337
1961-015DQ,350,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.31,66.91,910,732,,,0,MEDIUM,8593,1961,15,DQ,Y,THOR ABLESTAR DEB,1961-015DQ,350
1961-015DR,351,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.57,66.75,714,667,,,0,SMALL,8593,1961,15,DR,Y,THOR ABLESTAR DEB,1961-015DR,351
1961-015DS,352,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/10/1966,89.52,66.48,266,235,,,0,,1,1961,15,DS,Y,THOR ABLESTAR DEB,1961-015DS,352
1961-015DT,353,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,7/1/2023,88.57,66.45,218,189,,,0,SMALL,8466,1961,15,DT,Y,THOR ABLESTAR DEB,1961-015DT,353
1961-015DU,354,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,106.77,67.07,1205,949,,,0,SMALL,8587,1961,15,DU,Y,THOR ABLESTAR DEB,1961-015DU,354
1961-015DV,355,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,108.05,67.22,1320,953,,,0,MEDIUM,8589,1961,15,DV,Y,THOR ABLESTAR DEB,1961-015DV,355
1961-015DW,356,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/2/1981,90.05,66.96,284,270,,,0,SMALL,5942,1961,15,DW,Y,THOR ABLESTAR DEB,1961-015DW,356
1961-015DX,357,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.43,66.81,883,864,,,0,SMALL,8582,1961,15,DX,Y,THOR ABLESTAR DEB,1961-015DX,357
1961-015DY,358,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/31/1966,91,66.27,339,308,,,0,,1,1961,15,DY,Y,THOR ABLESTAR DEB,1961-015DY,358
1961-015DZ,359,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/31/1965,88.91,67.01,229,212,,,0,,1,1961,15,DZ,Y,THOR ABLESTAR DEB,1961-015DZ,359
1961-015E,120,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.93,66.71,888,717,,,0,MEDIUM,8590,1961,15,E,Y,THOR ABLESTAR DEB,1961-015E,120
1961-015EA,401,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,1/25/1989,91.26,67,346,327,,,0,MEDIUM,5942,1961,15,EA,Y,THOR ABLESTAR DEB,1961-015EA,401
1961-015EB,402,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.44,66.66,761,703,,,0,SMALL,8588,1961,15,EB,Y,THOR ABLESTAR DEB,1961-015EB,402
1961-015EC,403,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.28,66.84,972,949,,,0,SMALL,8583,1961,15,EC,Y,THOR ABLESTAR DEB,1961-015EC,403
1961-015ED,404,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,111.52,66.47,1728,865,,,0,MEDIUM,8590,1961,15,ED,Y,THOR ABLESTAR DEB,1961-015ED,404
1961-015EE,405,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.41,66.89,1073,954,,,0,SMALL,8569,1961,15,EE,Y,THOR ABLESTAR DEB,1961-015EE,405
1961-015EF,406,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.27,66.78,1098,916,,,0,SMALL,8591,1961,15,EF,Y,THOR ABLESTAR DEB,1961-015EF,406
1961-015EG,407,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.61,66.32,742,642,,,0,MEDIUM,8593,1961,15,EG,Y,THOR ABLESTAR DEB,1961-015EG,407
1961-015EH,408,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.67,66.79,1025,933,,,0,MEDIUM,8588,1961,15,EH,Y,THOR ABLESTAR DEB,1961-015EH,408
1961-015EJ,409,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.06,66.71,854,763,,,0,SMALL,8588,1961,15,EJ,Y,THOR ABLESTAR DEB,1961-015EJ,409
1961-015EK,410,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.63,66.69,993,961,,,0,MEDIUM,8567,1961,15,EK,Y,THOR ABLESTAR DEB,1961-015EK,410
1961-015EL,411,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,6/20/1978,95.31,66.88,560,507,,,0,SMALL,5942,1961,15,EL,Y,THOR ABLESTAR DEB,1961-015EL,411
1961-015EM,412,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,6/30/1980,90.61,67.18,326,283,,,0,SMALL,5942,1961,15,EM,Y,THOR ABLESTAR DEB,1961-015EM,412
1961-015EN,413,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/2/1989,91.06,66.44,336,317,,,0,MEDIUM,5942,1961,15,EN,Y,THOR ABLESTAR DEB,1961-015EN,413
1961-015EP,414,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,104.55,66.44,1011,936,,,0,MEDIUM,8579,1961,15,EP,Y,THOR ABLESTAR DEB,1961-015EP,414
1961-015EQ,415,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,5/27/1989,89.84,67.62,287,246,,,0,MEDIUM,5942,1961,15,EQ,Y,THOR ABLESTAR DEB,1961-015EQ,415
1961-015ER,416,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.9,66.52,898,799,,,0,SMALL,8547,1961,15,ER,Y,THOR ABLESTAR DEB,1961-015ER,416
1961-015ES,417,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.52,66.74,878,784,,,0,SMALL,8587,1961,15,ES,Y,THOR ABLESTAR DEB,1961-015ES,417
1961-015ET,418,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/5/1991,88.39,67.63,201,189,,,0,MEDIUM,5942,1961,15,ET,Y,THOR ABLESTAR DEB,1961-015ET,418
1961-015EU,419,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/9/2014,90.3,66.84,308,271,,,0,SMALL,5942,1961,15,EU,Y,THOR ABLESTAR DEB,1961-015EU,419
1961-015EV,420,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.67,66.81,855,725,,,0,SMALL,8590,1961,15,EV,Y,THOR ABLESTAR DEB,1961-015EV,420
1961-015EW,421,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,10/2/1984,91.41,66.68,350,338,,,0,SMALL,5942,1961,15,EW,Y,THOR ABLESTAR DEB,1961-015EW,421
1961-015EX,461,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.04,67.51,693,637,,,0,MEDIUM,8593,1961,15,EX,Y,THOR ABLESTAR DEB,1961-015EX,461
1961-015EY,462,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/1/2001,90.26,67.55,296,279,,,0,SMALL,5942,1961,15,EY,Y,THOR ABLESTAR DEB,1961-015EY,462
1961-015EZ,463,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.5,66.77,777,693,,,0,SMALL,8587,1961,15,EZ,Y,THOR ABLESTAR DEB,1961-015EZ,463
1961-015F,121,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.87,66.75,966,822,,,0,MEDIUM,8584,1961,15,F,Y,THOR ABLESTAR DEB,1961-015F,121
1961-015FA,464,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/18/1989,89.28,67.57,245,233,,,0,MEDIUM,5942,1961,15,FA,Y,THOR ABLESTAR DEB,1961-015FA,464
1961-015FB,465,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.31,66.32,801,745,,,0,SMALL,8590,1961,15,FB,Y,THOR ABLESTAR DEB,1961-015FB,465
1961-015FC,466,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/26/1988,88.21,66.73,191,181,,,0,SMALL,5942,1961,15,FC,Y,THOR ABLESTAR DEB,1961-015FC,466
1961-015FD,467,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,106.49,66.56,1253,875,,,0,SMALL,8583,1961,15,FD,Y,THOR ABLESTAR DEB,1961-015FD,467
1961-015FE,468,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,12/3/1981,91.06,66.56,343,310,,,0,SMALL,5942,1961,15,FE,Y,THOR ABLESTAR DEB,1961-015FE,468
1961-015FF,469,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.65,66.83,835,743,,,0,SMALL,8593,1961,15,FF,Y,THOR ABLESTAR DEB,1961-015FF,469
1961-015FG,470,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.36,66.23,921,821,,,0,SMALL,8592,1961,15,FG,Y,THOR ABLESTAR DEB,1961-015FG,470
